nsecode,name,bsecode,per_chg,close,volume
PNB,Punjab National Bank,532461,6.67,135.15,100643107
LAURUSLABS,Laurus Labs Limited,540222,5.92,439.85,8562100
MANAPPURAM,Manappuram Finance Limited,531213,5.55,194.05,17738172
NATIONALUM,National Aluminium Company Limited,532234,5.14,174.75,75955052
GNFC,Gujarat Narmada Valley Fertilizers And Chemicals Limited,500670,4.98,691.85,3214518
ESCORTS,Escorts Limited,500495,4.58,3006.3,743351
MUTHOOTFIN,Muthoot Finance Limited,533398,4.32,1630.2,1550553
PETRONET,Petronet Lng Limited,532522,3.68,282.85,11248413
SHRIRAMFIN,Shriram Finance Ltd,511218,3.67,2556.45,2317699
CUB,City Union Bank Limited,532210,3.45,149.75,8822438
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,500085,3.33,374.1,2582068
AUROPHARMA,Aurobindo Pharma Limited,524804,3.29,1137.65,2589939
GAIL,Gail (india) Limited,532155,3.16,189.1,40868454
