nsecode,name,bsecode,per_chg,close,volume
NATIONALUM,National Aluminium Company Limited,532234,5.09,181.98,31594107
SAIL,Steel Authority Of India Limited,500113,4.52,137.75,32800586
HINDCOPPER,Hindustan Copper Limited,513599,4.22,329.65,14885334
HINDALCO,Hindalco Industries Limited,500440,3.9,711.85,11517668
HCLTECH,Hcl Technologies Limited,532281,3.49,1719.45,2672708
CHOLAFIN,Cholamandalam Investment And Finance Company Limited,511243,3.43,1395.05,1742029
M&MFIN,Mahindra & Mahindra Financial Services Limited,532720,3.39,315.35,5385515
NMDC,Nmdc Limited,526371,3.36,229.22,8423452
NTPC,Ntpc Limited,532555,3.21,414.85,13772637
INDHOTEL,The Indian Hotels Company Limited,500850,3.07,661.6,9957687
VEDL,Vedanta Limited,500295,3.07,463.1,11143399
