nsecode,name,bsecode,per_chg,close,volume
HINDCOPPER,Hindustan Copper Limited,513599,10.36,141.1,44878185
IBULHSGFIN,Indiabulls Housing Finance Limited,535789,5.66,143.75,34596620
COROMANDEL,Coromandel International Limited,506395,5.1,1029.45,1366440
RECLTD,Rural Electrification Corporation Limited,532955,4.48,202.95,28733969
NMDC,Nmdc Limited,526371,4.18,117.25,24224643
SHRIRAMFIN,Shriram Finance Ltd,511218,4.14,1893.15,1555772
NTPC,Ntpc Limited,532555,3.98,218.35,43494779
IDFCFIRSTB,IDFC First Bank Ltd,539437,3.87,87.2,101482338
SIEMENS,Siemens Limited,500550,3.25,3983.0,1607883
BHARATFORG,Bharat Forge Limited,500493,3.17,931.45,2257553
BALKRISIND,Balkrishna Industries Limited,502355,3.16,2542.35,357183
ASTRAL,Astral Poly Technik Limited,532830,3.15,1969.35,910329
ONGC,Oil & Natural Gas Corporation Limited,500312,3.06,177.05,9277749
POWERGRID,Power Grid Corporation Of India Limited,532898,3.04,266.05,18202301
