bsecode,close,name,nsecode,per_chg,volume
530005,269.1,The India Cements Limited,INDIACEM,9.5,27577019.0
532482,345.35,Granules India Limited,GRANULES,6.49,9384379.0
532483,228.75,Canara Bank,CANBK,6.2,20704585.0
500469,118.75,The Federal Bank  Limited,FEDERALBNK,5.09,17967686.0
500253,413.85,Lic Housing Finance Limited,LICHSGFIN,4.79,2433663.0
532454,799.9,Bharti Airtel Limited,BHARTIARTL,4.61,7469164.0
532134,132.4,Bank Of Baroda,BANKBARODA,3.88,32119561.0
532187,1185.2,Indusind Bank Limited,INDUSINDBK,3.76,4392250.0
532830,2232.45,Astral Poly Technik Limited,ASTRAL,3.56,489778.0
535755,349.1,Aditya Birla Fashion And Retail Limited,ABFRL,3.24,2338058.0
533155,622.7,Jubilant Foodworks Limited,JUBLFOOD,3.16,3565158.0
500002,3088.4,Abb India Limited,ABB,3.08,310742.0
533309,1598.0,Dalmia Bharat Limited,DALBHARAT,3.08,153532.0
532659,66.35,Idfc Limited,IDFC,3.03,8733321.0
