,nsecode,per_chg,close,trigger_price,stoploss,target,qty
0,BALRAMCHIN,7.21,445.25,449.7,463.2,427.2,11
1,TVSMOTOR,4.97,657.25,663.8,683.7,630.6,7
2,COROMANDEL,3.34,820.55,828.8,853.7,787.4,6
