nsecode,name,bsecode,close,per_chg,volume
SAIL,Steel Authority Of India Limited,500113,201.31,14.32,173466903
VEDL,Vedanta Limited,500295,323.35,6.0,72680545
NMDC,Nmdc Limited,526371,91.11,5.18,42008503
ADANIGREEN,Adani Green Energy Ltd,541450,1366.7,4.49,5391989
ASIANPAINT,Asian Paints Limited,500820,2617.6,4.47,3515018
HINDZINC,Hindustan Zinc Limited,500188,667.1,3.93,12976174
BIOCON,Biocon Limited,532523,417.6,3.76,11445147
NATIONALUM,National Aluminium Company Limited,532234,408.25,3.6,11456661
TATASTEEL,Tata Steel Limited,500470,219.62,3.59,46231533
OIL,Oil India Limited,533106,507.1,3.29,10297489
INDUSTOWER,Indus Towers Ltd (Bharti Infratel),534816,413.2,3.09,6032427
HINDALCO,Hindalco Industries Limited,500440,1073.1,3.04,5341453
