bsecode,close,name,nsecode,per_chg,volume
500008,569.4,Amara Raja Batteries Limited,AMARAJABAT,9.55,15679162.0
512599,3833.25,Adani Enterprises Limited,ADANIENT,6.76,6112097.0
500086,175.55,Exide Industries Limited,EXIDEIND,6.49,18321325.0
500295,321.95,Vedanta Limited,VEDL,6.29,52129584.0
533309,1742.5,Dalmia Bharat Limited,DALBHARAT,5.37,930606.0
532978,1800.7,Bajaj Finserv Limited,BAJAJFINSV,4.48,6981242.0
540691,124.15,Aditya Birla Capital Ltd,ABCAPITAL,3.67,6611650.0
500425,558.6,Ambuja Cements Limited,AMBUJACEM,3.54,8028860.0
532921,862.9,Adani Ports And Special Economic Zone Limited,ADANIPORTS,3.48,11128361.0
500228,701.75,Jsw Steel Limited,JSWSTEEL,3.17,3624889.0
