nsecode,name,bsecode,per_chg,close,volume
TECHM,Tech Mahindra Limited,532755,7.43,1278.75,20431926
GMRINFRA,Gmr Infrastructure Limited,532754,6.58,90.75,121203082
COROMANDEL,Coromandel International Limited,506395,6.52,1184.5,2181682
CONCOR,Container Corporation Of India Limited,531344,6.29,1068.0,7642272
HAVELLS,Havells India Limited,517354,5.09,1640.05,4166048
BIOCON,Biocon Limited,532523,5.06,306.4,45364974
SUNTV,Sun Tv Network Limited,532733,4.65,664.45,2503243
DIVISLAB,Divi's Laboratories Limited,532488,4.49,4016.35,1155173
EXIDEIND,Exide Industries Limited,500086,4.3,466.65,13397687
ASHOKLEY,Ashok Leyland Limited,500477,4.11,185.0,48050897
VEDL,Vedanta Limited,500295,4.07,396.55,24602811
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,500085,3.42,422.85,6127647
INDIGO,Interglobe Aviation Limited,539448,3.22,3935.35,1760839
MOTHERSON,Motherson Sumi Systems Limited,517334,3.07,131.1,38360100
