nsecode,name,bsecode,per_chg,close,volume
MUTHOOTFIN,Muthoot Finance Limited,533398,7.14,1434.45,1693364
PFC,Power Finance Corporation Limited,532810,6.98,386.75,22051088
HINDCOPPER,Hindustan Copper Limited,513599,6.84,273.4,12123658
RECLTD,Rural Electrification Corporation Limited,532955,6.44,450.25,18429233
GMRINFRA,Gmr Infrastructure Limited,532754,5.96,79.1,18986015
NATIONALUM,National Aluminium Company Limited,532234,5.77,145.75,36768461
BHEL,Bharat Heavy Electricals Limited,500103,5.54,237.2,36784553
POLYCAB,Polycab India Ltd,542652,5.11,4986.55,712776
JINDALSTEL,Jindal Steel & Power Limited,532286,5.01,821.55,3440279
BEL,Bharat Electronics Limited,500049,5.01,196.85,43152810
SIEMENS,Siemens Limited,500550,4.94,4942.35,461620
HAL,Hindustan Aeronautics Ltd,541154,4.73,3121.35,1962690
L&TFH,L&t Finance Holdings Limited,533519,4.7,156.0,7424642
SAIL,Steel Authority Of India Limited,500113,4.33,129.0,82318813
HINDPETRO,Hindustan Petroleum Corporation Limited,500104,4.16,472.5,5201023
CONCOR,Container Corporation Of India Limited,531344,4.0,873.2,2443904
IOC,Indian Oil Corporation Limited,530965,3.95,164.5,26756447
RBLBANK,Rbl Bank Limited,540065,3.94,242.5,6061119
GODREJPROP,Godrej Properties Limited,533150,3.91,2223.55,544468
DLF,Dlf Limited,532868,3.84,857.7,3484101
PNB,Punjab National Bank,532461,3.77,121.05,38099730
LICHSGFIN,Lic Housing Finance Limited,500253,3.74,591.35,1697503
CUMMINSIND,Cummins India Limited,500480,3.74,2898.25,857294
BPCL,Bharat Petroleum Corporation Limited,500547,3.73,587.8,8312666
MANAPPURAM,Manappuram Finance Limited,531213,3.66,172.6,5764213
IRCTC,Indian Railway Catering & Tourism Corporation Ltd,542830,3.64,934.75,3688075
NTPC,Ntpc Limited,532555,3.62,325.0,23370426
ICICIPRULI,Icici Prudential Life Insurance Company Limited,540133,3.55,580.25,1932166
VOLTAS,Voltas Limited,500575,3.45,1083.95,1377158
GRANULES,Granules India Limited,532482,3.45,427.6,668383
POWERGRID,Power Grid Corporation Of India Limited,532898,3.44,273.75,23559105
TATAPOWER,Tata Power Company Limited,500400,3.22,392.15,16908086
PIIND,Pi Industries Limited,523642,3.19,3751.1,311473
SRF,Srf Limited,503806,3.17,2538.35,1316007
TATASTEEL,Tata Steel Limited,500470,3.06,150.1,84225737
