,nsecode,per_chg,close,trigger_price,stoploss,target,qty
0,GNFC,13.26,515.55,520.7,536.3,494.7,9
1,INDIGO,9.91,2170.1,2191.8,2257.6,2082.2,2
2,BANKBARODA,6.01,112.95,114.1,117.5,108.4,43
