bsecode,close,name,nsecode,per_chg,volume
500251,1474.7,Trent Limited,TRENT,4.59,1594684.0
540716,1355.5,ICICI Lombard General Insurance Company Ltd,ICICIGI,4.59,1675014.0
532134,126.6,Bank Of Baroda,BANKBARODA,4.15,35845276.0
543066,1000.8,SBI Cards & Payment Services Ltd,SBICARD,4.1,6849096.0
500877,260.0,Apollo Tyres Limited,APOLLOTYRE,3.94,8884401.0
509480,705.0,Berger Paints (i) Limited,BERGEPAINT,3.65,1800385.0
517354,1348.5,Havells India Limited,HAVELLS,3.62,1200211.0
500182,2913.45,Hero Motocorp Limited,HEROMOTOCO,3.42,2510869.0
532482,326.95,Granules India Limited,GRANULES,3.38,4206669.0
500670,786.1,Gujarat Narmada Valley Fertilizers And Chemicals Limited,GNFC,3.26,3178303.0
532483,239.2,Canara Bank,CANBK,3.04,15176003.0
