bsecode,close,name,nsecode,per_chg,volume
500400,226.95,Tata Power Company Limited,TATAPOWER,4.97,41105290.0
540115,4825.5,L&t Technology Services Limited,LTTS,4.67,468116.0
532400,451.2,Birlasoft Ltd,BSOFT,4.66,3155855.0
530965,117.05,Indian Oil Corporation Limited,IOC,4.28,22322573.0
538835,710.3,Intellect Design Arena Limited,INTELLECT,4.27,881203.0
500085,394.6,Chambal Fertilizers & Chemicals Limited,CHAMBLFERT,3.95,3076723.0
524715,855.0,Sun Pharmaceuticals Industries Limited,SUNPHARMA,3.93,4864275.0
532819,3996.75,Mindtree Limited,MINDTREE,3.57,832829.0
532540,3599.95,Tata Consultancy Services Limited,TCS,3.3,3300992.0
540750,214.2,Indian Energy Exchange Ltd,IEX,3.03,9864026.0
500087,969.55,Cipla Limited,CIPLA,3.02,5826939.0
