nsecode,name,bsecode,close,per_chg,volume
ADANIENSOL,Adani Energy Solutions Ltd,539254,1157.9,7.34,7933292
SONACOMS,Sona BLW Precision Forgings Ltd,543300,554.25,5.97,4735536
SIEMENS,Siemens Limited,500550,3388.5,5.15,625209
NAM-INDIA,Nippon Life India Asset Management Ltd,540767,955.25,5.13,2020947
MOTHERSON,Samvardhana Motherson International Ltd,517334,122.16,4.5,25378911
ASHOKLEY,Ashok Leyland Limited,500477,178.02,4.48,39293953
ASTRAL,Astral Ltd,532830,1630.0,4.24,1127663
ADANIGREEN,Adani Green Energy Ltd,541450,1085.35,3.91,7332980
BHARATFORG,Bharat Forge Limited,500493,1798.8,3.42,1462504
SHRIRAMFIN,Shriram Finance Ltd,511218,1027.55,3.14,8048521
PHOENIXLTD,The Phoenix Mills Limited,503100,1763.5,3.13,991843
TVSMOTOR,Tvs Motor Company Limited,532343,3839.9,3.03,1331891
