bsecode,close,name,nsecode,per_chg,volume
538835,761.8,Intellect Design Arena Limited,INTELLECT,6.72,949473.0
541154,1462.15,Hindustan Aeronautics Ltd,HAL,6.2,2404349.0
532659,58.95,Idfc Limited,IDFC,5.74,11703495.0
500469,98.35,The Federal Bank  Limited,FEDERALBNK,5.24,23649366.0
500575,1270.75,Voltas Limited,VOLTAS,4.85,2210899.0
500002,2190.95,Abb India Limited,ABB,4.74,231640.0
500850,210.8,The Indian Hotels Company Limited,INDHOTEL,4.49,8051450.0
533273,926.55,Oberoi Realty Limited,OBEROIRLTY,4.15,1040788.0
500043,1911.5,Bata India Limited,BATAINDIA,4.09,747417.0
500038,485.5,Balrampur Chini Mills Limited,BALRAMCHIN,4.03,6348479.0
500331,2462.9,Pidilite Industries Limited,PIDILITIND,3.9,581040.0
511196,600.35,Can Fin Homes Limited,CANFINHOME,3.72,934412.0
512599,1758.0,Adani Enterprises Limited,ADANIENT,3.33,1269866.0
530005,212.35,The India Cements Limited,INDIACEM,3.16,4152862.0
532689,1723.2,Pvr Limited,PVR,3.08,711117.0
