nsecode,name,bsecode,per_chg,close,volume
JUBLFOOD,Jubilant Foodworks Limited,533155,6.09,533.3,9790421
PETRONET,Petronet Lng Limited,532522,4.63,229.15,7264631
GLENMARK,Glenmark Pharmaceuticals Limited,532296,3.97,791.75,1858292
AUROPHARMA,Aurobindo Pharma Limited,524804,3.9,851.6,1884702
NMDC,Nmdc Limited,526371,3.84,143.3,28895943
ZEEL,Zee Entertainment Enterprises Limited,505537,3.48,274.9,29199932
APOLLOHOSP,Apollo Hospitals Enterprise Limited,508869,3.31,4984.5,800554
LAURUSLABS,Laurus Labs Limited,540222,3.12,406.6,2428536
ABB,Abb India Limited,500002,3.05,4440.8,306152
COALINDIA,Coal India Limited,533278,3.05,255.35,19654487
