nsecode,name,bsecode,close,per_chg,volume
SUPREMEIND,Supreme Industries Limited,509930,3580.3,7.05,469754
UNOMINDA,Uno Minda Ltd,532539,1284.0,6.56,1277954
APLAPOLLO,Apl Apollo Tubes Limited,533758,2270.1,5.66,1115754
ABCAPITAL,Aditya Birla Capital Ltd,540691,410.05,5.14,4888619
PAYTM,One 97 Communications Ltd,543396,1849.9,4.93,4640337
ADANIPORTS,Adani Ports And Special Economic Zone Limited,532921,1824.0,4.93,4148803
ADANIGREEN,Adani Green Energy Ltd,541450,1334.5,4.73,2597171
HINDZINC,Hindustan Zinc Limited,500188,596.0,4.14,7197021
JUBLFOOD,Jubilant Foodworks Limited,533155,500.0,4.12,2900829
VEDL,Vedanta Limited,500295,267.6,3.94,8484152
SONACOMS,Sona BLW Precision Forgings Ltd,543300,808.0,3.87,4201864
LODHA,Lodha Developers Ltd,543287,1144.7,3.77,4727259
RADICO,Radico Khaitan Limited,532497,4535.4,3.55,371544
ADANIENSOL,Adani Energy Solutions Ltd,539254,1436.1,3.55,2145921
LTF,L&T Finance Ltd,533519,312.8,3.47,4647669
CONCOR,Container Corporation Of India Limited,531344,504.55,3.36,2242132
PETRONET,Petronet Lng Limited,532522,292.6,3.23,3218273
CDSL,Central Depository Services Ltd,,1390.0,3.01,1694146
