nsecode,name,bsecode,per_chg,close,volume
PIIND,Pi Industries Limited,523642,10.4,3384.5,2940105
RECLTD,Rural Electrification Corporation Limited,532955,5.64,132.15,24029372
SYNGENE,Syngene International Limited,539268,4.18,677.0,2793922
CANFINHOME,Can Fin Homes Limited,511196,3.96,616.7,1601617
PNB,Punjab National Bank,532461,3.67,52.25,58579598
DELTACORP,Delta Corp Limited,532848,3.44,204.7,3678875
PERSISTENT,Persistent Systems Limited,533179,3.36,4737.25,584752
IDFCFIRSTB,IDFC First Bank Ltd,539437,3.36,61.45,67480695
ABCAPITAL,Aditya Birla Capital Ltd,540691,3.31,167.2,6152158
COFORGE,Coforge (Niit Tech),532541,3.29,4184.5,649355
IDFC,Idfc Limited,532659,3.17,87.8,9130464
BRITANNIA,Britannia Industries Limited,500825,3.12,4553.55,482939
PFC,Power Finance Corporation Limited,532810,3.06,169.9,14809357
