nsecode,name,bsecode,close,per_chg,volume
LODHA,Lodha Developers Ltd,543287,1057.0,5.05,7862663
NATIONALUM,National Aluminium Company Limited,532234,347.6,4.62,12212575
AUROPHARMA,Aurobindo Pharma Limited,524804,1620.5,3.81,2190579
NUVAMA,Nuvama Wealth Management Ltd,543988,1887.5,3.76,1946356
OBEROIRLTY,Oberoi Realty Limited,533273,1934.4,3.74,900582
LTF,L&T Finance Ltd,533519,327.0,3.73,8797473
ZYDUSLIFE,Zydus Lifesciences Ltd,532321,1140.6,3.71,1862016
360ONE,360 ONE WAM Ltd,542772,1109.5,3.69,1319185
INDUSINDBK,Indusind Bank Limited,532187,974.35,3.27,3819865
LUPIN,Lupin Limited,500257,2476.0,3.18,939595
