bsecode,close,name,nsecode,per_chg,volume
511196,571.65,Can Fin Homes Limited,CANFINHOME,5.51,1497538.0
539437,59.6,IDFC First Bank Ltd,IDFCFIRSTB,5.49,61949943.0
532659,88.9,Idfc Limited,IDFC,5.39,52283646.0
500875,378.6,Itc Limited,ITC,4.76,55745171.0
540065,155.45,Rbl Bank Limited,RBLBANK,4.75,14196687.0
500825,4573.05,Britannia Industries Limited,BRITANNIA,4.62,1669243.0
540005,4587.75,LTI Mindtree Ltd,LTIM,4.55,902731.0
511243,775.0,Cholamandalam Investment And Finance Company Limited,CHOLAFIN,3.36,3157794.0
532809,111.5,Firstsource Solutions Limited,FSL,3.05,6695095.0
