nsecode,name,bsecode,per_chg,close,volume
AARTIIND,Aarti Industries Limited,524208,10.74,510.0,14781664
JKCEMENT,Jk Cement Limited,532644,8.66,3402.95,1228213
METROPOLIS,Metropolis Healthcare Ltd,542650,6.73,1571.55,1449720
DEEPAKNTR,Deepak Nitrite Limited,506401,5.77,2138.35,666246
DIVISLAB,Divi's Laboratories Limited,532488,4.66,3506.7,1821472
EXIDEIND,Exide Industries Limited,500086,4.55,267.75,4740338
BHARATFORG,Bharat Forge Limited,500493,4.35,1075.7,3643475
SRF,Srf Limited,503806,3.72,2337.2,845207
INDIACEM,The India Cements Limited,530005,3.44,215.05,3613878
IOC,Indian Oil Corporation Limited,530965,3.23,99.0,63500708
