nsecode,name,bsecode,close,per_chg,volume
DMART,Avenue Supermarts Ltd,540376,4271.1,7.94,2710202
NAM-INDIA,Nippon Life India Asset Management Ltd,540767,865.15,7.92,1610039
BSE,BSE (Bombay stock exchange) Ltd,20,2867.6,6.86,5166997
INDIANB,Indian Bank Ltd,532814,888.0,5.0,1896842
LAURUSLABS,Laurus Labs Limited,540222,1038.8,4.64,2351992
BEL,Bharat Electronics Limited,500049,418.7,4.51,25301241
HINDZINC,Hindustan Zinc Limited,500188,524.45,4.44,6207649
ADANIPOWER,Adani Power Limited,533096,157.11,4.44,48215780
RBLBANK,Rbl Bank Limited,540065,301.65,4.11,6314298
DELHIVERY,Delhivery Ltd,543529,431.4,3.53,2796488
NATIONALUM,National Aluminium Company Limited,532234,399.45,3.46,17296757
VEDL,Vedanta Limited,500295,677.2,3.42,16756679
MCX,Multi Commodity Exchange Of India Limited,534091,2469.7,3.36,3749070
SONACOMS,Sona BLW Precision Forgings Ltd,543300,497.25,3.27,1772619
FEDERALBNK,The Federal Bank  Limited,500469,267.6,3.16,8296508
MUTHOOTFIN,Muthoot Finance Limited,533398,3256.0,3.03,790724
