nsecode,name,bsecode,per_chg,close,volume
BHEL,Bharat Heavy Electricals Limited,500103,6.96,92.95,83791105
MOTHERSON,Motherson Sumi Systems Limited,517334,6.05,90.3,60717634
BAJAJ-AUTO,Bajaj Auto Limited,532977,5.72,4890.05,891033
DIVISLAB,Divi's Laboratories Limited,532488,5.57,3747.95,1611582
COLPAL,Colgate Palmolive (india) Limited,500830,5.18,1793.7,1739601
RBLBANK,Rbl Bank Limited,540065,4.47,190.65,33526194
HEROMOTOCO,Hero Motocorp Limited,500182,4.24,3158.2,3069147
HINDPETRO,Hindustan Petroleum Corporation Limited,500104,4.19,290.8,7569059
HDFCLIFE,HDFC Life Insurance Company Ltd,540777,4.11,673.6,5871642
IBULHSGFIN,Indiabulls Housing Finance Limited,535789,3.41,130.5,21470051
GODREJCP,Godrej Consumer Products Limited,532424,3.3,1096.95,2106111
