nsecode,name,bsecode,per_chg,close,volume
ZEEL,Zee Entertainment Enterprises Limited,505537,6.27,235.65,17049675
TVSMOTOR,Tvs Motor Company Limited,532343,5.88,1384.0,5467323
JINDALSTEL,Jindal Steel & Power Limited,532286,5.62,664.7,4624289
HINDCOPPER,Hindustan Copper Limited,513599,5.42,124.55,16714759
ALKEM,Alkem Laboratories Limited,539523,4.46,3950.65,720563
GAIL,Gail (india) Limited,532155,3.88,116.4,23574611
MGL,Mahanagar Gas Limited,539957,3.86,1089.3,541892
HINDALCO,Hindalco Industries Limited,500440,3.82,449.5,8482756
TATASTEEL,Tata Steel Limited,500470,3.25,119.25,88035259
JSWSTEEL,Jsw Steel Limited,500228,3.21,800.55,4850069
MANAPPURAM,Manappuram Finance Limited,531213,3.17,130.1,13886639
