,nsecode,per_chg,close,trigger_price,stoploss,target,qty
0,CANFINHOME,6.9,616.0,622.2,640.9,591.1,8
1,BATAINDIA,5.97,2072.75,2093.5,2156.3,1988.8,2
2,NTPC,3.81,140.15,141.6,145.8,134.5,35
3,MPHASIS,3.59,3039.3,3069.7,3161.8,2916.2,1
4,INDHOTEL,3.29,207.3,209.4,215.7,198.9,23
