bsecode,close,name,nsecode,per_chg,volume
500113,88.95,Steel Authority Of India Limited,SAIL,7.62,86864774.0
513599,116.75,Hindustan Copper Limited,HINDCOPPER,6.52,8485712.0
532810,149.7,Power Finance Corporation Limited,PFC,6.06,13657303.0
500470,119.25,Tata Steel Limited,TATASTEEL,5.86,143444095.0
500339,178.85,Rain Industries Limited,RAIN,4.77,2562268.0
533179,4027.95,Persistent Systems Limited,PERSISTENT,4.06,445934.0
539437,61.15,IDFC First Bank Ltd,IDFCFIRSTB,4.0,51505940.0
532659,84.45,Idfc Limited,IDFC,3.87,9721238.0
500477,148.65,Ashok Leyland Limited,ASHOKLEY,3.66,16056291.0
540691,155.4,Aditya Birla Capital Ltd,ABCAPITAL,3.46,3828055.0
500483,1317.55,Tata Communications Limited,TATACOMM,3.38,1682597.0
532955,120.4,Rural Electrification Corporation Limited,RECLTD,3.35,19310744.0
