nsecode,name,bsecode,close,per_chg,volume
RBLBANK,Rbl Bank Limited,540065,318.15,5.7,22771700
ADANIENSOL,Adani Energy Solutions Ltd,539254,991.35,5.28,2083508
BSE,BSE (Bombay stock exchange) Ltd,20,2982.3,4.59,5962836
MCX,Multi Commodity Exchange Of India Limited,534091,2549.0,4.34,3640729
DMART,Avenue Supermarts Ltd,540376,4551.3,4.33,1915220
NMDC,Nmdc Limited,526371,81.4,4.25,52439160
SHRIRAMFIN,Shriram Finance Ltd,511218,928.0,4.08,5898399
AXISBANK,Axis Bank Limited,532215,1245.3,3.96,7847086
TITAN,Titan Company Limited,500114,4246.1,3.63,1678285
TORNTPOWER,Torrent Power Limited,532779,1379.1,3.52,546934
INDIANB,Indian Bank Ltd,532814,899.85,3.5,2261012
MUTHOOTFIN,Muthoot Finance Limited,533398,3289.8,3.49,756759
SAIL,Steel Authority Of India Limited,500113,160.44,3.4,27838073
