nsecode,name,bsecode,per_chg,close,volume
PFC,Power Finance Corporation Limited,532810,5.65,531.05,33571765
BHEL,Bharat Heavy Electricals Limited,500103,4.76,311.3,37577666
RBLBANK,Rbl Bank Limited,540065,4.38,269.55,10167369
RECLTD,Rural Electrification Corporation Limited,532955,4.28,562.3,25695583
PEL,Piramal Enterprises Limited,500302,4.2,943.6,1969143
TATACONSUM,TATA Consumer Products Ltd,500800,3.74,1146.35,4406793
FEDERALBNK,The Federal Bank  Limited,500469,3.68,181.46,36051344
HAVELLS,Havells India Limited,517354,3.54,1878.9,1890144
SAIL,Steel Authority Of India Limited,500113,3.37,151.62,34424841
INDUSTOWER,Indus Towers Ltd (Bharti Infratel),534816,3.31,396.5,20902391
