nsecode,name,bsecode,per_chg,close,volume
ONGC,Oil & Natural Gas Corporation Limited,500312,7.88,252.5,54127939
RELIANCE,Reliance Industries Limited,500325,7.02,2896.1,11946719
PFC,Power Finance Corporation Limited,532810,6.62,446.75,38320305
RECLTD,Rural Electrification Corporation Limited,532955,6.29,499.7,27272127
MCX,Multi Commodity Exchange Of India Limited,534091,6.03,3415.4,1332758
COALINDIA,Coal India Limited,533278,6.01,412.8,27149058
ADANIENT,Adani Enterprises Limited,512599,5.91,3064.65,4402976
INDHOTEL,The Indian Hotels Company Limited,500850,4.76,496.15,8503267
TATAPOWER,Tata Power Company Limited,500400,4.6,381.9,34448280
GODREJPROP,Godrej Properties Limited,533150,4.45,2430.4,1572046
SHRIRAMFIN,Shriram Finance Ltd,511218,4.41,2409.0,3579015
ADANIPORTS,Adani Ports And Special Economic Zone Limited,532921,4.39,1196.65,6768033
CUMMINSIND,Cummins India Limited,500480,4.31,2255.15,1135151
BPCL,Bharat Petroleum Corporation Limited,500547,3.85,492.65,13934742
GAIL,Gail (india) Limited,532155,3.84,171.75,58433818
ASTRAL,Astral Poly Technik Limited,532830,3.82,1868.75,1046879
BHARATFORG,Bharat Forge Limited,500493,3.62,1243.65,1842394
TATAMOTORS,Tata Motors Limited,500570,3.59,841.0,12823686
LICHSGFIN,Lic Housing Finance Limited,500253,3.59,600.0,6752824
VOLTAS,Voltas Limited,500575,3.5,1040.4,1557213
POWERGRID,Power Grid Corporation Of India Limited,532898,3.44,253.95,26181011
HEROMOTOCO,Hero Motocorp Limited,500182,3.41,4593.5,418127
JKCEMENT,Jk Cement Limited,532644,3.33,4306.2,312673
LT,Larsen & Toubro Limited,500510,3.19,3708.0,2072982
BANKBARODA,Bank Of Baroda,532134,3.17,234.25,20641625
NTPC,Ntpc Limited,532555,3.11,324.55,24694773
INDUSTOWER,Indus Towers Ltd (Bharti Infratel),534816,3.02,232.25,11621907
NATIONALUM,National Aluminium Company Limited,532234,3.01,145.35,53160333
