nsecode,name,bsecode,per_chg,close,volume
HDFCLIFE,HDFC Life Insurance Company Ltd,540777,5.43,609.55,11422524
MANAPPURAM,Manappuram Finance Limited,531213,4.64,125.2,24157487
ASHOKLEY,Ashok Leyland Limited,500477,4.48,164.4,47565738
ICICIPRULI,Icici Prudential Life Insurance Company Limited,540133,4.23,534.2,4458267
ICICIGI,ICICI Lombard General Insurance Company Ltd,540716,3.74,1254.75,1685160
M&MFIN,Mahindra & Mahindra Financial Services Limited,532720,3.71,305.0,3920275
HAL,Hindustan Aeronautics Ltd,541154,3.7,3844.7,3119677
EXIDEIND,Exide Industries Limited,500086,3.69,215.0,7594969
IRCTC,Indian Railway Catering & Tourism Corporation Ltd,542830,3.42,665.0,5271115
IDFCFIRSTB,IDFC First Bank Ltd,539437,3.42,81.7,60784532
MCX,Multi Commodity Exchange Of India Limited,534091,3.37,1601.55,586145
SBILIFE,SBI Life Insurance Company Ltd,540719,3.24,1281.35,2049003
