nsecode,name,bsecode,per_chg,close,volume
RECLTD,Rural Electrification Corporation Limited,532955,6.91,302.4,58777830
PFC,Power Finance Corporation Limited,532810,6.38,257.65,31788640
BHEL,Bharat Heavy Electricals Limited,500103,5.35,128.05,22803638
INDUSTOWER,Indus Towers Ltd (Bharti Infratel),534816,5.29,190.15,19311498
NMDC,Nmdc Limited,526371,4.07,159.9,11208581
OBEROIRLTY,Oberoi Realty Limited,533273,3.93,1210.5,1444507
GAIL,Gail (india) Limited,532155,3.78,122.05,17644988
HINDCOPPER,Hindustan Copper Limited,513599,3.48,145.7,3250941
LALPATHLAB,Dr. Lal Path Labs Ltd.,539524,3.46,2463.15,587385
TATAPOWER,Tata Power Company Limited,500400,3.33,244.8,9816661
GMRINFRA,Gmr Infrastructure Limited,532754,3.23,56.0,4133434
LUPIN,Lupin Limited,500257,3.22,1169.2,2294662
AMBUJACEM,Ambuja Cements Limited,500425,3.21,419.7,3289570
GODREJPROP,Godrej Properties Limited,533150,3.11,1716.0,1252578
MGL,Mahanagar Gas Limited,539957,3.06,1034.7,719525
