,nsecode,per_chg,close,trigger_price,stoploss,target,qty
0,TATAPOWER,4.97,226.95,229.2,236.1,217.7,21
1,LTTS,4.67,4825.5,4873.8,5020.0,4630.1,1
2,BSOFT,4.66,451.2,455.7,469.4,432.9,10
3,IOC,4.28,117.05,118.2,121.7,112.3,42
4,INTELLECT,4.27,710.3,717.4,738.9,681.5,6
5,CHAMBLFERT,3.95,394.6,398.5,410.5,378.6,12
6,SUNPHARMA,3.93,855.0,863.6,889.5,820.4,5
7,MINDTREE,3.57,3996.75,4036.7,4157.8,3834.9,1
8,TCS,3.3,3599.95,3635.9,3745.0,3454.1,1
9,IEX,3.03,214.2,216.3,222.8,205.5,23
