nsecode,name,bsecode,per_chg,close,volume
ICICIPRULI,Icici Prudential Life Insurance Company Limited,540133,8.75,694.25,9280093
MFSL,Max Financial Services Limited,500271,6.04,1094.0,2545173
PETRONET,Petronet Lng Limited,532522,5.11,350.6,12859504
HDFCLIFE,HDFC Life Insurance Company Ltd,540777,4.48,672.8,12377638
INDIAMART,Indiamart Intermesh Ltd,542726,4.14,3007.55,550172
UNITDSPR,United Spirits Ltd,532432,3.82,1382.85,6354785
JUBLFOOD,Jubilant Foodworks Limited,533155,3.74,582.25,2551785
IEX,Indian Energy Exchange Ltd,540750,3.68,174.43,11178623
OBEROIRLTY,Oberoi Realty Limited,533273,3.3,1742.85,1505609
BIOCON,Biocon Limited,532523,3.25,348.0,3384480
