nsecode,name,bsecode,per_chg,close,volume
INTELLECT,Intellect Design Arena Limited,538835,19.7,690.9,16495461
IBULHSGFIN,Indiabulls Housing Finance Limited,535789,6.62,136.05,51905331
TATAPOWER,Tata Power Company Limited,500400,6.22,234.65,57651036
TATACHEM,Tata Chemicals Limited,500770,5.78,1051.05,5379672
LICHSGFIN,Lic Housing Finance Limited,500253,4.09,413.45,6780148
NTPC,Ntpc Limited,532555,3.99,210.0,39630520
HDFCAMC,HDFC Asset Management Company Ltd,541729,3.74,2538.25,1038295
IPCALAB,Ipca Laboratories Limited,524494,3.69,857.25,1094114
MARICO,Marico Limited,531642,3.66,574.35,7372578
ZEEL,Zee Entertainment Enterprises Limited,505537,3.61,245.15,15516473
ESCORTS,Escorts Limited,500495,3.57,2536.85,673575
BSOFT,Birlasoft Ltd,532400,3.41,415.9,10057454
RECLTD,Rural Electrification Corporation Limited,532955,3.21,194.25,35054688
