nsecode,name,bsecode,per_chg,close,volume
HINDPETRO,Hindustan Petroleum Corporation Limited,500104,6.46,499.05,11948717
JSWSTEEL,Jsw Steel Limited,500228,4.79,1164.8,5881898
SAIL,Steel Authority Of India Limited,500113,4.23,146.99,68661714
BPCL,Bharat Petroleum Corporation Limited,500547,3.92,384.0,12051156
INDIANB,Indian Bank,532814,3.49,837.25,3654469
LTF,L&T Finance Ltd,533519,3.44,315.95,9647536
SAMMAANCAP,Sammaan Capital Ltd,535789,3.28,145.64,39493816
JINDALSTEL,Jindal Steel & Power Limited,532286,3.18,1053.8,4643020
OIL,Oil India Limited,533106,3.14,424.35,2728793
IOC,Indian Oil Corporation Limited,530965,3.03,166.46,24383706
