nsecode,name,bsecode,per_chg,close,volume
GLENMARK,Glenmark Pharmaceuticals Limited,532296,10.11,855.5,9406251
SUNTV,Sun Tv Network Limited,532733,5.58,612.15,2784168
HINDALCO,Hindalco Industries Limited,500440,5.53,492.65,11604605
L&TFH,L&t Finance Holdings Limited,533519,5.09,133.1,19676085
LALPATHLAB,Dr. Lal Path Labs Ltd.,539524,4.81,2524.35,496428
RBLBANK,Rbl Bank Limited,540065,4.72,252.75,17679018
AUROPHARMA,Aurobindo Pharma Limited,524804,4.66,914.35,7776048
NATIONALUM,National Aluminium Company Limited,532234,4.35,97.2,12807411
NMDC,Nmdc Limited,526371,4.26,147.95,14406278
ZEEL,Zee Entertainment Enterprises Limited,505537,4.13,264.55,14122312
METROPOLIS,Metropolis Healthcare Ltd,542650,3.99,1459.8,372280
HINDCOPPER,Hindustan Copper Limited,513599,3.9,162.4,10590492
GRANULES,Granules India Limited,532482,3.77,354.75,2385607
NTPC,Ntpc Limited,532555,3.59,245.55,35038887
TORNTPHARM,Torrent Pharmaceuticals Limited,500420,3.51,1929.1,509887
BHEL,Bharat Heavy Electricals Limited,500103,3.43,131.0,29692801
LUPIN,Lupin Limited,500257,3.37,1171.25,1933854
SYNGENE,Syngene International Limited,539268,3.37,804.15,584080
M&MFIN,Mahindra & Mahindra Financial Services Limited,532720,3.24,301.35,5364301
