nsecode,name,bsecode,per_chg,close,volume
CUMMINSIND,Cummins India Limited,500480,7.71,2585.25,4892636
TRENT,Trent Limited,500251,6.5,3841.95,7374486
HAL,Hindustan Aeronautics Ltd,541154,5.0,3097.2,4475010
TATACOMM,Tata Communications Limited,500483,3.89,1759.85,2131671
MFSL,Max Financial Services Limited,500271,3.72,996.0,3337092
SBIN,State Bank Of India,500112,3.6,699.55,74222434
IOC,Indian Oil Corporation Limited,530965,3.19,192.4,83103687
CANBK,Canara Bank,532483,3.1,569.25,23256838
TATAPOWER,Tata Power Company Limited,500400,3.1,407.4,21626429
CONCOR,Container Corporation Of India Limited,531344,3.07,950.85,3711989
BPCL,Bharat Petroleum Corporation Limited,500547,3.06,620.5,18761294
