nsecode,name,bsecode,close,per_chg,volume
IREDA,Indian Renewable Energy Development Agency Ltd,544026,140.45,8.99,73264311
ADANIENSOL,Adani Energy Solutions Ltd,539254,1368.1,8.12,6551573
ADANIPOWER,Adani Power Limited,533096,215.65,6.24,117165796
MOTHERSON,Samvardhana Motherson International Ltd,517334,131.76,5.66,42968413
TIINDIA,Tube Investments of India Ltd,540762,3024.4,4.82,488674
MANAPPURAM,Manappuram Finance Limited,531213,295.05,4.7,10976535
ADANIGREEN,Adani Green Energy Ltd,541450,1198.95,4.26,4934584
SIEMENS,Siemens Limited,500550,3844.3,3.29,882278
TATACONSUM,TATA Consumer Products Ltd,500800,1178.6,3.2,4284220
NATIONALUM,National Aluminium Company Limited,532234,435.95,3.07,12617478
