nsecode,name,bsecode,per_chg,close,volume
NATIONALUM,National Aluminium Company Limited,532234,6.63,224.23,70653372
BALRAMCHIN,Balrampur Chini Mills Limited,500038,4.88,680.55,5927802
NAVINFLUOR,Navin Fluorine International Limited,532504,4.68,3602.4,403892
TATACHEM,Tata Chemicals Limited,500770,3.8,1132.6,3781132
GRANULES,Granules India Limited,532482,3.68,579.15,7050057
GNFC,Gujarat Narmada Valley Fertilizers And Chemicals Limited,500670,3.51,699.45,2341150
LALPATHLAB,Dr. Lal Path Labs Ltd.,539524,3.42,3415.65,112120
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,500085,3.41,547.5,8640459
COROMANDEL,Coromandel International Limited,506395,3.19,1728.0,536936
TECHM,Tech Mahindra Limited,532755,3.06,1625.4,5176596
