nsecode,name,bsecode,per_chg,close,volume
ASHOKLEY,Ashok Leyland Limited,500477,8.04,131.76,80821577
BLUESTARCO,Blue Star Limited,500067,7.31,1915.7,1751520
TVSMOTOR,Tvs Motor Company Limited,532343,6.6,3219.7,3748828
UNOMINDA,Uno Minda Ltd,532539,6.13,1220.3,2817223
HEROMOTOCO,Hero Motocorp Limited,500182,5.86,4984.0,3698091
BAJFINANCE,Bajaj Finance Limited,500034,5.08,905.2,16277779
SUPREMEIND,Supreme Industries Limited,509930,4.61,4496.0,269556
DMART,Avenue Supermarts,540376,4.58,4558.0,1589953
CHOLAFIN,Cholamandalam Investment And Finance Company Limited,511243,4.18,1522.6,1354862
LTF,L&T Finance Ltd,533519,4.14,210.45,9569765
ABCAPITAL,Aditya Birla Capital Ltd,540691,3.72,283.15,7800519
DABUR,Dabur India Limited,500096,3.63,519.1,4810046
M&M,Mahindra & Mahindra Limited,500520,3.6,3383.1,5787481
BAJAJFINSV,Bajaj Finserv Limited,532978,3.55,1993.5,1473915
HINDUNILVR,Hindustan Unilever Limited,500696,3.53,2568.1,3089136
JSWSTEEL,Jsw Steel Limited,500228,3.28,1079.8,3252940
SRF,Srf Limited,503806,3.09,2929.7,306279
