nsecode,name,bsecode,per_chg,close,volume
GAIL,Gail (india) Limited,532155,7.68,151.5,84784192
WIPRO,Wipro Limited,507685,6.6,462.65,23040407
SUNTV,Sun Tv Network Limited,532733,4.57,725.55,2134821
LAURUSLABS,Laurus Labs Limited,540222,4.38,414.55,9517787
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,500085,4.31,359.8,7357117
DEEPAKNTR,Deepak Nitrite Limited,506401,4.15,2379.45,1244623
HINDCOPPER,Hindustan Copper Limited,513599,3.99,226.6,47676684
MANAPPURAM,Manappuram Finance Limited,531213,3.91,176.65,15840218
CUMMINSIND,Cummins India Limited,500480,3.7,2013.15,1057329
MPHASIS,Mphasis Limited,526299,3.56,2738.4,581801
DLF,Dlf Limited,532868,3.33,715.95,5899551
