nsecode,name,bsecode,per_chg,close,volume
ABFRL,Aditya Birla Fashion And Retail Limited,535755,11.58,236.15,91062159
ABCAPITAL,Aditya Birla Capital Ltd,540691,10.56,201.05,55493460
SAIL,Steel Authority Of India Limited,500113,5.04,147.85,109998430
VEDL,Vedanta Limited,500295,4.8,301.3,27928247
BEL,Bharat Electronics Limited,500049,4.69,221.0,93873385
GODREJPROP,Godrej Properties Limited,533150,4.52,2497.75,942608
HAL,Hindustan Aeronautics Ltd,541154,4.1,3543.0,3169551
ACC,Acc Limited,500410,4.09,2648.65,493639
TATACONSUM,TATA Consumer Products Ltd,500800,4.07,1131.15,5107047
CUB,City Union Bank Limited,532210,3.5,144.75,6213002
IRCTC,Indian Railway Catering & Tourism Corporation Ltd,542830,3.47,1003.8,8068586
OBEROIRLTY,Oberoi Realty Limited,533273,3.41,1554.65,1284154
VOLTAS,Voltas Limited,500575,3.37,1190.4,4378945
JINDALSTEL,Jindal Steel & Power Limited,532286,3.29,896.9,4087436
M&MFIN,Mahindra & Mahindra Financial Services Limited,532720,3.17,296.05,4659977
