nsecode,name,bsecode,per_chg,close,volume
BANKINDIA,Bank Of India,532149,4.34,139.71,26494042
COFORGE,Coforge (Niit Tech),532541,4.01,1830.6,6887265
BPCL,Bharat Petroleum Corporation Limited,500547,3.8,343.0,11767585
POLICYBZR,PB Fintech Ltd,543390,3.78,1749.4,1354960
HINDPETRO,Hindustan Petroleum Corporation Limited,500104,3.49,453.75,5526263
SBILIFE,SBI Life Insurance Company Ltd,540719,3.44,1903.1,2866910
ASHOKLEY,Ashok Leyland Limited,500477,3.27,140.81,16792519
IOC,Indian Oil Corporation Limited,530965,3.21,155.2,16809115
IIFL,Iifl Holdings Limited,532636,3.17,505.35,1658725
CUMMINSIND,Cummins India Limited,500480,3.07,4311.5,784380
