nsecode,name,bsecode,per_chg,close,volume
NATIONALUM,National Aluminium Company Limited,532234,5.59,428.85,39396481
OIL,Oil India Limited,533106,4.94,514.75,20563028
TATASTEEL,Tata Steel Limited,500470,4.37,202.32,60610904
SAMMAANCAP,Sammaan Capital Ltd,535789,4.05,147.57,28565983
VEDL,Vedanta Limited,500295,3.97,766.35,30290476
INDUSTOWER,Indus Towers Ltd (Bharti Infratel),534816,3.82,441.55,8487120
NMDC,Nmdc Limited,526371,3.78,84.6,71597178
LT,Larsen & Toubro Limited,500510,3.66,3932.9,4227139
MCX,Multi Commodity Exchange Of India Limited,534091,3.59,2686.0,5308326
JINDALSTEL,Jindal Steel Ltd,532286,3.59,1159.6,4011001
MUTHOOTFIN,Muthoot Finance Limited,533398,3.44,4091.7,751686
AXISBANK,Axis Bank Limited,532215,3.33,1363.7,16107684
KEI,Kei Industries Limited,517569,3.25,4005.3,456449
