nsecode,name,bsecode,per_chg,close,volume
VOLTAS,Voltas Limited,500575,6.35,1383.15,8939049
EXIDEIND,Exide Industries Limited,500086,4.87,465.95,22247019
INDIGO,Interglobe Aviation Limited,539448,4.69,3727.0,1274812
HINDCOPPER,Hindustan Copper Limited,513599,4.11,379.05,38708175
ZYDUSLIFE,Zydus Lifesciences Ltd,532321,4.07,959.7,1739138
ABFRL,Aditya Birla Fashion And Retail Limited,535755,3.97,240.75,8535766
MFSL,Max Financial Services Limited,500271,3.79,1060.3,2113437
PNB,Punjab National Bank,532461,3.78,133.1,37568034
CANBK,Canara Bank,532483,3.64,599.8,10489215
BIOCON,Biocon Limited,532523,3.63,271.15,8601670
CROMPTON,Crompton Greaves Consumer Electricals Limited,539876,3.42,307.2,6505570
HAVELLS,Havells India Limited,517354,3.27,1550.75,1567522
MCDOWELL-N,United Spirits Limited,532432,3.27,1159.8,3530062
LICHSGFIN,Lic Housing Finance Limited,500253,3.15,663.2,4657599
BPCL,Bharat Petroleum Corporation Limited,500547,3.01,603.45,8762809
