nsecode,name,bsecode,per_chg,close,volume
CANFINHOME,Can Fin Homes Limited,511196,4.95,908.35,1794537
LTF,L&T Finance Ltd,533519,4.88,174.36,15036376
NATIONALUM,National Aluminium Company Limited,532234,4.66,179.43,14251643
HINDALCO,Hindalco Industries Limited,500440,4.4,676.2,8594764
BHARTIARTL,Bharti Airtel Limited,532454,4.37,1646.75,12204496
LICHSGFIN,Lic Housing Finance Limited,500253,4.05,703.7,4432592
JINDALSTEL,Jindal Steel & Power Limited,532286,3.9,1004.65,2998825
NTPC,Ntpc Limited,532555,3.9,404.85,24028069
BALRAMCHIN,Balrampur Chini Mills Limited,500038,3.84,572.75,2197509
SHRIRAMFIN,Shriram Finance Ltd,511218,3.68,3400.75,1832723
AUROPHARMA,Aurobindo Pharma Limited,524804,3.59,1561.45,4067763
CHOLAFIN,Cholamandalam Investment And Finance Company Limited,511243,3.56,1575.55,2689481
M&M,Mahindra & Mahindra Limited,500520,3.26,2740.9,3730285
EICHERMOT,Eicher Motors Limited,505200,3.14,4875.0,757317
ABCAPITAL,Aditya Birla Capital Ltd,540691,3.1,220.49,3569309
WIPRO,Wipro Limited,507685,3.05,530.05,7889737
