bsecode,close,name,nsecode,per_chg,volume
500180,1656.8,Hdfc Bank Limited,HDFCBANK,10.01,48725485.0
500010,2680.05,Housing Development Finance Corporation Limited,HDFC,9.29,34117717.0
500085,463.55,Chambal Fertilizers & Chemicals Limited,CHAMBLFERT,7.74,6401817.0
500038,505.1,Balrampur Chini Mills Limited,BALRAMCHIN,4.61,5129417.0
542830,832.7,Indian Railway Catering & Tourism Corporation Ltd,IRCTC,4.32,5650502.0
532921,818.55,Adani Ports And Special Economic Zone Limited,ADANIPORTS,4.17,13743062.0
532659,66.2,Idfc Limited,IDFC,4.09,35160910.0
500495,1765.05,Escorts Limited,ESCORTS,3.95,397463.0
500295,421.45,Vedanta Limited,VEDL,3.86,11316771.0
540750,238.95,Indian Energy Exchange Ltd,IEX,3.46,12985586.0
532234,125.95,National Aluminium Company Limited,NATIONALUM,3.2,18233438.0
532286,547.45,Jindal Steel & Power Limited,JINDALSTEL,3.13,7806545.0
