nsecode,name,bsecode,per_chg,close,volume
ADANIENT,Adani Enterprises Limited,512599,8.9,2423.5,11972275
HINDPETRO,Hindustan Petroleum Corporation Limited,500104,7.04,342.75,26484193
MCX,Multi Commodity Exchange Of India Limited,534091,6.91,3129.65,3876385
ADANIPORTS,Adani Ports And Special Economic Zone Limited,532921,5.3,837.7,15929818
TATAPOWER,Tata Power Company Limited,500400,4.9,270.8,24745437
NMDC,Nmdc Limited,526371,4.88,181.65,22160056
IOC,Indian Oil Corporation Limited,530965,4.59,108.2,61127565
INDIACEM,The India Cements Limited,530005,4.41,229.7,10463984
AMBUJACEM,Ambuja Cements Limited,500425,4.08,431.2,7654493
MFSL,Max Financial Services Limited,500271,3.71,1005.3,2072808
TATAMOTORS,Tata Motors Limited,500570,3.53,697.5,16015860
L&TFH,L&t Finance Holdings Limited,533519,3.47,144.75,6735882
PNB,Punjab National Bank,532461,3.42,78.55,43966316
BPCL,Bharat Petroleum Corporation Limited,500547,3.39,424.5,11593428
