bsecode,close,name,nsecode,per_chg,volume
500477,130.35,Ashok Leyland Limited,ASHOKLEY,6.06,48165817.0
500325,2624.45,Reliance Industries Limited,RELIANCE,5.83,10057508.0
532689,1823.85,Pvr Limited,PVR,5.05,750985.0
512599,2219.55,Adani Enterprises Limited,ADANIENT,4.96,1444803.0
500251,1086.95,Trent Limited,TRENT,4.85,629720.0
532921,767.55,Adani Ports And Special Economic Zone Limited,ADANIPORTS,4.74,5434279.0
500670,635.9,Gujarat Narmada Valley Fertilizers And Chemicals Limited,GNFC,4.53,3659881.0
500087,978.4,Cipla Limited,CIPLA,4.31,2594816.0
541154,1757.2,Hindustan Aeronautics Ltd,HAL,4.24,1908136.0
500038,423.2,Balrampur Chini Mills Limited,BALRAMCHIN,3.97,1755558.0
540611,1310.2,AU Small Finance Bank,AUBANK,3.96,1208641.0
532286,478.8,Jindal Steel & Power Limited,JINDALSTEL,3.92,4452873.0
500770,989.15,Tata Chemicals Limited,TATACHEM,3.89,1455732.0
532522,227.95,Petronet Lng Limited,PETRONET,3.78,2870329.0
531642,528.55,Marico Limited,MARICO,3.54,2817153.0
524715,915.65,Sun Pharmaceuticals Industries Limited,SUNPHARMA,3.51,2877917.0
500550,2372.3,Siemens Limited,SIEMENS,3.39,252381.0
500049,234.95,Bharat Electronics Limited,BEL,3.27,5909711.0
