bsecode,close,name,nsecode,per_chg,volume
512599,1742.85,Adani Enterprises Limited,ADANIENT,5.21,2294474.0
500331,2349.9,Pidilite Industries Limited,PIDILITIND,5.02,921069.0
500085,414.45,Chambal Fertilizers & Chemicals Limited,CHAMBLFERT,4.78,2826362.0
511243,670.45,Cholamandalam Investment And Finance Company Limited,CHOLAFIN,4.68,2425990.0
500470,1308.7,Tata Steel Limited,TATASTEEL,4.25,13674062.0
532286,467.8,Jindal Steel & Power Limited,JINDALSTEL,4.01,11549021.0
500112,468.7,State Bank Of India,SBIN,3.76,34553299.0
532432,846.55,United Spirits Limited,MCDOWELL-N,3.6,2544833.0
530965,120.95,Indian Oil Corporation Limited,IOC,3.42,18394923.0
500570,419.6,Tata Motors Limited,TATAMOTORS,3.38,59776817.0
533273,904.25,Oberoi Realty Limited,OBEROIRLTY,3.28,1329937.0
542830,758.1,Indian Railway Catering & Tourism Corporation Ltd,IRCTC,3.14,5542997.0
511196,591.2,Can Fin Homes Limited,CANFINHOME,3.11,1157062.0
532134,101.85,Bank Of Baroda,BANKBARODA,3.03,71291981.0
,2314.1,POLYCAB,POLYCAB,3.02,270388.0
