nsecode,name,bsecode,per_chg,close,volume
NATIONALUM,National Aluminium Company Limited,532234,4.24,290.3,18744818
SHRIRAMFIN,Shriram Finance Ltd,511218,3.68,934.85,31894463
KEI,Kei Industries Limited,517569,3.67,4441.6,631106
VBL,Varun Beverages Limited,540180,3.46,485.65,10893397
BSE,BSE (Bombay stock exchange),20,3.38,2775.5,4928746
UPL,Upl Limited,512070,3.33,776.55,3673981
SAIL,Steel Authority Of India Limited,500113,3.3,130.06,18396794
INFY,Infosys Limited,500209,3.11,1689.6,23098923
WIPRO,Wipro Limited,507685,3.11,272.67,14651313
HINDZINC,Hindustan Zinc Limited,500188,3.01,606.5,12145672
