nsecode,name,bsecode,per_chg,close,volume
BDL,Bharat Dynamics Ltd,541143,5.73,1566.5,4503551
MAZDOCK,Mazagon Dock Shipbuilders Ltd,543237,4.66,2924.7,4278838
SUPREMEIND,Supreme Industries Limited,509930,4.12,4532.7,307480
MOTHERSON,Motherson Sumi Systems Limited,517334,3.99,104.69,46300257
HINDZINC,Hindustan Zinc Limited,500188,3.74,462.95,11582146
BEL,Bharat Electronics Limited,500049,3.67,399.3,26356961
HAL,Hindustan Aeronautics Ltd,541154,3.59,4745.6,2816230
BAJFINANCE,Bajaj Finance Limited,500034,3.4,1003.25,11412561
VEDL,Vedanta Limited,500295,3.02,450.9,15838929
