nsecode,name,bsecode,close,per_chg,volume
ANGELONE,Angel One Ltd,,322.47,10.2,80869288
NAM-INDIA,Nippon Life India Asset Management Ltd,540767,1015.05,5.2,2327117
HDFCAMC,HDFC Asset Management Company Ltd,541729,2792.4,4.89,2259343
DMART,Avenue Supermarts Ltd,540376,4628.5,4.52,1366449
KEI,Kei Industries Limited,517569,4839.3,4.13,489014
SIEMENS,Siemens Limited,500550,3707.9,4.04,1034058
360ONE,360 ONE WAM Ltd,542772,1113.3,3.42,2641982
JINDALSTEL,Jindal Steel Ltd,532286,1270.0,3.39,2860655
PNBHOUSING,Pnb Housing Finance Limited,540173,923.7,3.35,2129544
FEDERALBNK,The Federal Bank  Limited,500469,293.75,3.29,9241911
PREMIERENE,Premier Energies Ltd,,1034.6,3.14,7485168
ADANIENSOL,Adani Energy Solutions Ltd,539254,1259.8,3.04,4943744
NMDC,Nmdc Limited,526371,89.78,3.01,41324296
