nsecode,name,bsecode,per_chg,close,volume
ADANIPORTS,Adani Ports And Special Economic Zone Limited,532921,5.03,756.5,17910387
PFC,Power Finance Corporation Limited,532810,4.79,217.8,25675597
PEL,Piramal Enterprises Limited,500302,4.59,949.35,7246134
SYNGENE,Syngene International Limited,539268,4.2,759.6,1371282
POLYCAB,Polycab India Ltd,542652,4.0,3614.05,885684
TORNTPHARM,Torrent Pharmaceuticals Limited,500420,3.97,1953.65,1413657
INDIGO,Interglobe Aviation Limited,539448,3.61,2621.1,1917308
RECLTD,Rural Electrification Corporation Limited,532955,3.57,166.75,22329032
INDHOTEL,The Indian Hotels Company Limited,500850,3.36,396.45,7311704
CHOLAFIN,Cholamandalam Investment And Finance Company Limited,511243,3.08,1127.5,2480325
GODREJCP,Godrej Consumer Products Limited,532424,3.06,1069.1,2761494
GLENMARK,Glenmark Pharmaceuticals Limited,532296,3.03,675.6,1652557
