nsecode,name,bsecode,per_chg,close,volume
DALBHARAT,Dalmia Bharat Limited,533309,6.47,2261.0,756357
NATIONALUM,National Aluminium Company Limited,532234,6.1,104.35,37266123
SAIL,Steel Authority Of India Limited,500113,5.98,102.75,65068908
NMDC,Nmdc Limited,526371,5.75,138.0,46708960
IDFCFIRSTB,IDFC First Bank Ltd,539437,5.41,98.45,78872194
IDFC,Idfc Limited,532659,4.66,129.25,19967146
MOTHERSON,Motherson Sumi Systems Limited,517334,4.65,102.35,24250047
COALINDIA,Coal India Limited,533278,4.6,247.8,24785966
WIPRO,Wipro Limited,507685,4.26,434.1,13817324
HCLTECH,Hcl Technologies Limited,532281,3.94,1232.5,4517935
RAMCOCEM,The Ramco Cements Limited,500260,3.78,921.9,916870
TATASTEEL,Tata Steel Limited,500470,3.7,131.75,68525900
ABCAPITAL,Aditya Birla Capital Ltd,540691,3.42,190.4,7470310
LICHSGFIN,Lic Housing Finance Limited,500253,3.37,447.8,9128736
PNB,Punjab National Bank,532461,3.06,67.4,78454936
