nsecode,name,bsecode,close,per_chg,volume
LAURUSLABS,Laurus Labs Limited,540222,987.2,4.48,1763554
JINDALSTEL,Jindal Steel Ltd,532286,1186.5,4.25,1998983
BHEL,Bharat Heavy Electricals Limited,500103,262.05,4.09,19056140
GLENMARK,Glenmark Pharmaceuticals Limited,532296,2180.1,3.94,596886
AUROPHARMA,Aurobindo Pharma Limited,524804,1291.4,3.52,1395687
JSWSTEEL,Jsw Steel Limited,500228,1169.6,3.42,3580084
BIOCON,Biocon Limited,532523,380.95,3.36,12193711
TATASTEEL,Tata Steel Limited,500470,196.77,3.29,46881257
UNIONBANK,Union Bank Of India Ltd,532477,177.63,3.18,18846899
LUPIN,Lupin Limited,500257,2322.5,3.15,1089433
COALINDIA,Coal India Limited,533278,468.15,3.07,23878653
