nsecode,name,bsecode,per_chg,close,volume
PFC,Power Finance Corporation Limited,532810,5.6,414.6,22538378
NMDC,Nmdc Limited,526371,5.18,85.88,73789115
ETERNAL,Eternal Ltd,543320,5.13,294.15,64894681
MCX,Multi Commodity Exchange Of India Limited,534091,4.49,2543.3,4065299
VOLTAS,Voltas Limited,500575,3.85,1419.5,598049
ANGELONE,Angel One Ltd,,3.82,2686.7,1390887
BLUESTARCO,Blue Star Limited,500067,3.43,1880.2,941831
BHARATFORG,Bharat Forge Limited,500493,3.38,1591.0,1510124
IOC,Indian Oil Corporation Limited,530965,3.1,172.78,28164545
GMRAIRPORT,GMR Airports Ltd,532754,3.0,98.08,20822852
