nsecode,name,bsecode,per_chg,close,volume
LTF,L&T Finance Ltd,533519,10.32,303.6,70587337
BSE,BSE (Bombay stock exchange),20,9.07,2678.3,20297200
ANGELONE,Angel One Ltd,,5.22,2616.4,1865591
KFINTECH,KFin Technologies Ltd,543720,4.6,1111.0,1132039
ABCAPITAL,Aditya Birla Capital Ltd,540691,3.38,338.1,13494106
BANKINDIA,Bank Of India,532149,3.15,144.58,15852911
AUBANK,AU Small Finance Bank,540611,3.14,908.7,3232246
LICI,Life Insurance Corporation of India,543526,3.13,924.15,7699680
SHRIRAMFIN,Shriram Finance Ltd,511218,3.01,816.35,9765252
