nsecode,name,bsecode,per_chg,close,volume
RECLTD,Rural Electrification Corporation Limited,532955,9.54,507.15,72903180
PFC,Power Finance Corporation Limited,532810,6.27,441.55,53552269
M&M,Mahindra & Mahindra Limited,500520,4.57,2156.35,5745143
ASHOKLEY,Ashok Leyland Limited,500477,3.94,192.65,55035190
EXIDEIND,Exide Industries Limited,500086,3.7,472.4,15667803
HDFCAMC,HDFC Asset Management Company Ltd,541729,3.28,3894.65,1716768
BANKBARODA,Bank Of Baroda,532134,3.26,281.5,39453521
APOLLOTYRE,Apollo Tyres Limited,500877,3.12,510.1,5403633
ASTRAL,Astral Poly Technik Limited,532830,3.05,2118.1,1100749
