nsecode,name,bsecode,close,per_chg,volume
ADANIPOWER,Adani Power Limited,533096,233.38,6.41,73847208
UNIONBANK,Union Bank Of India Ltd,532477,168.87,5.07,19110578
GAIL,Gail (india) Limited,532155,168.67,4.91,36426464
ADANIENT,Adani Enterprises Limited,512599,2849.7,4.87,3277924
SAMMAANCAP,Sammaan Capital Ltd,535789,168.56,4.4,41737350
BANKINDIA,Bank Of India Ltd,532149,146.01,4.35,12177599
ASHOKLEY,Ashok Leyland Limited,500477,164.08,3.71,30680951
PETRONET,Petronet Lng Limited,532522,282.25,3.64,1717013
ADANIGREEN,Adani Green Energy Ltd,541450,1411.1,3.58,4194567
LTF,L&T Finance Ltd,533519,279.35,3.41,4498651
ZYDUSLIFE,Zydus Lifesciences Ltd,532321,1072.95,3.27,2355182
OBEROIRLTY,Oberoi Realty Limited,533273,1712.4,3.18,618288
