nsecode,name,bsecode,per_chg,close,volume
ESCORTS,Escorts Limited,500495,6.01,3393.45,1746758
GODREJPROP,Godrej Properties Limited,533150,5.65,1722.75,2748993
COALINDIA,Coal India Limited,533278,5.37,303.25,23283411
NMDC,Nmdc Limited,526371,4.96,150.25,16441933
INDUSTOWER,Indus Towers Ltd (Bharti Infratel),534816,4.57,187.45,16429730
BSOFT,Birlasoft Ltd,532400,4.53,539.1,6462169
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,500085,4.14,284.2,4210878
PFC,Power Finance Corporation Limited,532810,4.04,249.95,21120310
SHRIRAMFIN,Shriram Finance Ltd,511218,3.95,1892.85,1675512
DLF,Dlf Limited,532868,3.86,561.75,11366176
BHEL,Bharat Heavy Electricals Limited,500103,3.76,131.2,23073503
RECLTD,Rural Electrification Corporation Limited,532955,3.74,290.9,16215694
NATIONALUM,National Aluminium Company Limited,532234,3.63,97.0,7106610
OBEROIRLTY,Oberoi Realty Limited,533273,3.48,1152.4,815644
MANAPPURAM,Manappuram Finance Limited,531213,3.32,144.6,6099985
CHOLAFIN,Cholamandalam Investment And Finance Company Limited,511243,3.25,1259.15,2009992
MOTHERSON,Motherson Sumi Systems Limited,517334,3.15,93.3,12662153
BEL,Bharat Electronics Limited,500049,3.09,139.95,15593722
