nsecode,name,bsecode,per_chg,close,volume
ABFRL,Aditya Birla Fashion And Retail Limited,535755,9.45,263.5,31008521
ABCAPITAL,Aditya Birla Capital Ltd,540691,6.98,216.85,27144053
GRASIM,Grasim Industries Limited,500300,3.93,2370.15,1823447
OBEROIRLTY,Oberoi Realty Limited,533273,3.58,1473.95,912714
BHARTIARTL,Bharti Airtel Limited,532454,3.45,1342.35,12074766
BIOCON,Biocon Limited,532523,3.32,280.15,10392195
AMBUJACEM,Ambuja Cements Limited,500425,3.29,636.55,3751042
INDHOTEL,The Indian Hotels Company Limited,500850,3.24,604.3,2926476
MCX,Multi Commodity Exchange Of India Limited,534091,3.04,4022.1,1902890
DEEPAKNTR,Deepak Nitrite Limited,506401,3.01,2371.2,646643
