nsecode,name,bsecode,close,per_chg,volume
SUNPHARMA,Sun Pharmaceuticals Industries Limited,524715,1733.5,6.98,26995361
HINDZINC,Hindustan Zinc Limited,500188,628.0,6.71,20875698
INDUSINDBK,Indusind Bank Limited,532187,900.15,6.16,11254307
VBL,Varun Beverages Limited,540180,518.85,5.79,36094833
SUZLON,Suzlon Energy Limited,532667,56.93,5.6,215958603
BLUESTARCO,Blue Star Limited,500067,1916.3,5.38,939773
JSWENERGY,Jsw Energy Limited,533148,573.8,5.29,8635378
TORNTPOWER,Torrent Power Limited,532779,1772.5,4.3,1964732
SONACOMS,Sona BLW Precision Forgings Ltd,543300,588.65,4.21,3960338
TATAPOWER,Tata Power Company Limited,500400,453.2,4.18,16399806
BANDHANBNK,Bandhan Bank Ltd,541153,181.87,4.12,14244510
VOLTAS,Voltas Limited,500575,1515.0,3.48,1856047
BHEL,Bharat Heavy Electricals Limited,500103,348.58,3.32,20484360
SAIL,Steel Authority Of India Limited,500113,184.2,3.22,46111040
NHPC,Nhpc Limited,533098,83.23,3.19,16998016
