nsecode,name,bsecode,per_chg,close,volume
RECLTD,Rural Electrification Corporation Limited,532955,6.34,212.05,43892393
DIVISLAB,Divi's Laboratories Limited,532488,4.41,3910.55,1124433
M&M,Mahindra & Mahindra Limited,500520,4.25,1526.9,9257291
LICHSGFIN,Lic Housing Finance Limited,500253,3.34,440.9,9236996
SYNGENE,Syngene International Limited,539268,3.29,837.5,997907
PFC,Power Finance Corporation Limited,532810,3.19,266.85,15673718
AUROPHARMA,Aurobindo Pharma Limited,524804,3.17,868.25,2747477
BIOCON,Biocon Limited,532523,3.1,261.4,6179897
