nsecode,name,bsecode,close,per_chg,volume
ASHOKLEY,Ashok Leyland Limited,500477,172.48,12.78,102302775
ADANIGREEN,Adani Green Energy Ltd,541450,1029.65,11.27,16043205
BANDHANBNK,Bandhan Bank Ltd,541153,164.75,10.47,26384852
SHRIRAMFIN,Shriram Finance Ltd,511218,1023.2,9.94,18256527
ABCAPITAL,Aditya Birla Capital Ltd,540691,338.4,9.67,7244230
AUBANK,AU Small Finance Bank Ltd,540611,967.8,8.93,4895295
MOTHERSON,Samvardhana Motherson International Ltd,517334,118.11,8.92,42283271
ADANIENSOL,Adani Energy Solutions Ltd,539254,1073.3,8.83,4475280
ANGELONE,Angel One Ltd,,267.62,8.74,16338003
NAM-INDIA,Nippon Life India Asset Management Ltd,540767,903.2,8.69,2431425
APLAPOLLO,Apl Apollo Tubes Limited,533758,2047.7,8.31,811179
LTF,L&T Finance Ltd,533519,275.46,8.21,8622875
MUTHOOTFIN,Muthoot Finance Limited,533398,3503.3,8.08,1290282
UNIONBANK,Union Bank Of India Ltd,532477,185.66,8.02,20660394
LT,Larsen & Toubro Limited,500510,4005.9,7.59,7368477
CANBK,Canara Bank Ltd,532483,139.19,7.47,34185753
PHOENIXLTD,The Phoenix Mills Limited,503100,1713.1,7.27,1590912
BSE,BSE (Bombay stock exchange) Ltd,20,3163.6,7.21,10418736
BANKBARODA,Bank Of Baroda Ltd,532134,275.98,6.93,15760765
TVSMOTOR,Tvs Motor Company Limited,532343,3701.4,6.65,1532962
AXISBANK,Axis Bank Limited,532215,1333.0,6.63,13519723
BHARATFORG,Bharat Forge Limited,500493,1781.4,6.59,1961222
INDUSINDBK,Indusind Bank Limited,532187,835.95,6.52,3572416
BANKINDIA,Bank Of India Ltd,532149,146.49,6.5,17553137
KEI,Kei Industries Limited,517569,4507.2,6.39,758851
TITAN,Titan Company Limited,500114,4492.5,6.19,3834533
INDIANB,Indian Bank Ltd,532814,956.5,5.66,2494224
GMRAIRPORT,GMR Airports Ltd,532754,95.82,5.38,14529232
ADANIPORTS,Adani Ports And Special Economic Zone Limited,532921,1453.3,5.24,7636467
SAMMAANCAP,Sammaan Capital Ltd,535789,152.7,5.18,22879444
SIEMENS,Siemens Limited,500550,3226.1,4.9,398432
BHEL,Bharat Heavy Electricals Limited,500103,265.7,4.78,17510017
CGPOWER,CG Power and Industrial Solutions Ltd,500093,726.3,4.67,2887427
INDUSTOWER,Indus Towers Ltd (Bharti Infratel),534816,440.95,4.21,3295745
DELHIVERY,Delhivery Ltd,543529,459.85,4.04,4701999
JINDALSTEL,Jindal Steel Ltd,532286,1213.1,3.84,1573122
HINDZINC,Hindustan Zinc Limited,500188,559.35,3.82,6904276
JSWSTEEL,Jsw Steel Limited,500228,1194.3,3.68,2383883
ADANIPOWER,Adani Power Limited,533096,169.31,3.64,66318120
SONACOMS,Sona BLW Precision Forgings Ltd,543300,533.7,3.6,2802376
TORNTPOWER,Torrent Power Limited,532779,1448.4,3.49,375842
CUMMINSIND,Cummins India Limited,500480,4796.3,3.39,1102496
FEDERALBNK,The Federal Bank  Limited,500469,284.45,3.38,7811348
RBLBANK,Rbl Bank Limited,540065,322.85,3.28,6088664
TATASTEEL,Tata Steel Limited,500470,204.18,3.05,37018381
SBIN,State Bank Of India Ltd,500112,1061.45,3.01,28533742
